Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt2625054,2025-10-29,2025-10-29,,"Summits of My Life: A Fine Line","Summits of My Life: A Fine Line",https://www.imdb.com/title/tt2625054/,Movie,7.1,52,2012,"Documentary, Sport",389,2012-12-17,"Sèbastien Montaz-Rosset",7,2021-01-14
2,tt5687816,2025-10-29,2025-10-29,,"Granny Project","Granny Project",https://www.imdb.com/title/tt5687816/,Movie,7.4,89,2017,"Documentary",252,2021-08-02,"Bálint Révész",7,2021-08-25
3,tt8482584,2025-10-29,2025-10-29,,"12 Mighty Orphans","12 Mighty Orphans",https://www.imdb.com/title/tt8482584/,Movie,6.9,118,2021,"Drama, History, Sport",9835,2021-06-18,"Ty Roberts",7,2021-09-08
4,tt8991268,2025-10-29,2025-10-29,,"Medena zemja","Medena zemja",https://www.imdb.com/title/tt8991268/,Movie,8.0,89,2019,"Documentary",20280,2019-07-26,"Tamara Kotevska, Ljubomir Stefanov",7,2021-09-15
5,tt2167266,2025-10-29,2025-10-29,,"Tracks","Tracks",https://www.imdb.com/title/tt2167266/,Movie,7.1,112,2013,"Adventure, Biography, Drama",32787,2014-03-06,"John Curran",9,2021-09-25
6,tt6414866,2025-10-29,2025-10-29,,"Residente","Residente",https://www.imdb.com/title/tt6414866/,Movie,7.9,90,2017,"Documentary, Music",422,2017-03-11,"Residente",7,2021-10-06
7,tt15346636,2025-10-29,2025-10-29,,"Being James Bond","Being James Bond",https://www.imdb.com/title/tt15346636/,Video,7.4,46,2021,"Documentary, Action, Biography, History",2338,2021-09-07,"Baillie Walsh",6,2021-10-13
8,tt11512676,2025-10-29,2025-10-29,,"Do Not Split","Do Not Split",https://www.imdb.com/title/tt11512676/,Short,7.5,35,2020,"Documentary, Short",1765,2021-01-25,"Anders Sømme Hammer",7,2025-11-03
9,tt4364194,2025-10-29,2025-10-29,,"The Peanut Butter Falcon","The Peanut Butter Falcon",https://www.imdb.com/title/tt4364194/,Movie,7.6,97,2019,"Adventure, Comedy, Drama",117474,2019-08-23,"Tyler Nilson, Michael Schwartz",8,2021-10-20
10,tt10431500,2025-10-29,2025-10-29,,"Yedinci Kogustaki Mucize","Yedinci Kogustaki Mucize",https://www.imdb.com/title/tt10431500/,Movie,8.2,132,2019,"Drama",61070,2019-10-11,"Mehmet Ada Öztekin",7,2021-11-02
11,tt11790780,2025-10-29,2025-10-29,,"The Alpinist","The Alpinist",https://www.imdb.com/title/tt11790780/,Movie,7.9,92,2021,"Documentary, Biography, Sport",16458,2021-09-10,"Peter Mortimer, Nick Rosen",7,2021-12-24
12,tt7336012,2025-10-29,2025-10-29,,"Takara - La nuit où j'ai nagé","Takara - La nuit où j'ai nagé",https://www.imdb.com/title/tt7336012/,Movie,6.4,78,2017,"Drama",607,2018-04-14,"Kohei Igarashi, Damien Manivel",7,2021-11-15
13,tt8721424,2025-10-29,2025-10-29,,"Tick, Tick... Boom!","Tick, Tick... Boom!",https://www.imdb.com/title/tt8721424/,Movie,7.5,115,2021,"Biography, Comedy, Drama, Musical",126891,2021-11-19,"Lin-Manuel Miranda",7,2021-11-24
14,tt3278224,2025-10-29,2025-10-29,,"Sueño en otro idioma","Sueño en otro idioma",https://www.imdb.com/title/tt3278224/,Movie,7.4,103,2017,"Drama, Fantasy, Romance",4513,2018-04-20,"Ernesto Contreras",8,2021-12-15
15,tt9586294,2025-10-29,2025-10-29,,"Shaonian de ni","Shaonian de ni",https://www.imdb.com/title/tt9586294/,Movie,7.6,135,2019,"Crime, Drama, Romance, Thriller",16224,2019-10-25,"Derek Tsang",8,2021-12-22
